run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greypos_i0.5_r9,greypos,0.5,9,8,9.784154122194597,9.513432676436397,17849,0.7930069308690243,0.4968299711815562,0.0046205793495645,8.050617427920061,4.306856963182707,104.5900000000004,5.906485808410446,4.0981675810997125,0.049436556572137,greypos,attack,8.15103,1.54058,40.7418,862.0
greypos_i0.5_r10,greypos,0.5,10,7,11.375253170069795,11.182210373827044,27507,0.8871508740243824,0.417391304347826,0.2066051731922853,26.56762152777778,10.579124233181693,19.239999999999924,16.669908195664142,10.98366127649509,0.0682902285505856,greypos,attack,27.8223,1.30461,141.878,576.0
greypos_i0.6_r1,greypos,0.6,1,4,12.625371987084575,12.460561144625188,21554,0.8956948138297872,0.3882532418001526,0.016830119680851,13.08838313593558,6.8958064022612255,37.47999999999996,5.76811761453722,1.8776904372141747,0.0599124873779872,greypos,attack,14.6184,3.49889,67.0895,509.0
greypos_i0.6_r2,greypos,0.6,2,5,13.133920707226372,12.965765233239742,26647,0.9158933113356704,0.3905723905723905,0.0629683096171031,40.723078763481695,15.269593840194442,20.98000000000022,23.086895843094823,12.023113059643638,0.0486656791345627,greypos,attack,39.9243,15.9926,145.611,464.0
greypos_i0.6_r3,greypos,0.6,3,5,10.468461268590348,10.28538205105249,17441,0.8645286011698226,0.3918813427010148,0.0065926439972241,8.396959029087412,6.287768050056826,79.12000000000008,4.578847815447945,2.357213908036085,0.0570252222782444,greypos,attack,8.23733,2.60036,38.4896,502.0
greypos_i0.6_r4,greypos,0.6,4,6,12.925012695047126,12.732246448073752,29921,0.9020772407971298,0.3596287703016241,0.1818867014380897,23.936683982683984,12.101919843597262,14.279999999999848,17.289202840341783,6.589939134098141,0.04189795966267,greypos,attack,23.7982,8.88361,103.769,465.0
greypos_i0.6_r5,greypos,0.6,5,8,10.631374146440477,10.378930164547135,18170,0.8175110231260686,0.3864848844101956,0.015162422388194,7.2343053276205795,3.861289992032984,206.0,5.51194240325343,3.8009772586755295,0.0424592910434269,greypos,attack,6.86224,2.26942,21.9724,652.0
greypos_i0.6_r6,greypos,0.6,6,4,10.076703232355282,9.92544718951431,18613,0.8828021248339973,0.3879941434846266,0.0010434452665528,4.053273850106357,3.168571294787149,21.15,2.586693052381896,0.9421535815903916,0.0441119501089144,greypos,attack,4.27349,1.91936,13.9774,530.0
greypos_i0.6_r7,greypos,0.6,7,7,11.447292701610104,11.25012734022254,17015,0.8460964694181999,0.4021005251312828,0.0019393336648433,6.070565019567826,4.422708686096192,109.5600000000001,4.384737038570949,3.131874851936876,0.0505051451034098,greypos,attack,6.29222,2.08632,25.7151,536.0
greypos_i0.6_r8,greypos,0.6,8,5,12.766071479540752,12.593258774018352,22656,0.90595009596929,0.3871841155234657,0.0757357645553423,21.864464993103933,9.220615710691323,20.98000000000022,16.879601351923398,10.17082501003381,0.0584526897623245,greypos,attack,21.6548,0.657918,88.4361,429.0
greypos_i0.6_r9,greypos,0.6,9,8,9.810901305564231,9.54939448140035,17849,0.798827425707125,0.4028818443804035,0.0015664160401002,5.8127252805411525,3.536822752569732,104.5900000000004,4.300248745890816,3.3262917297404284,0.049436556572137,greypos,attack,5.91495,1.60024,22.8824,699.0
greypos_i0.6_r10,greypos,0.6,10,7,12.09092177035322,11.900975523651915,27507,0.8904247054253528,0.3369565217391304,0.1604622556001553,30.53728475607648,9.448582564049373,19.239999999999924,15.89726439119924,11.034882910008792,0.0682902285505856,greypos,attack,29.617,2.09083,136.565,465.0
greypos_i0.7_r1,greypos,0.7,1,4,12.788397205456306,12.629824337642765,21554,0.8999582463465553,0.3012967200610221,0.0045929018789144,10.91218992777821,5.445438506639745,37.47999999999996,4.6912366106565,1.508355104726227,0.0599124873779872,greypos,attack,11.0926,2.82486,41.791,395.0
greypos_i0.7_r2,greypos,0.7,2,5,13.529630521201945,13.369101632329413,26647,0.9197818508163336,0.2962962962962963,0.0364157260708984,16.34267065355835,10.175853566311098,20.98000000000022,10.955661265155731,7.826618866563275,0.0486656791345627,greypos,attack,16.394,8.0164,61.8057,352.0
greypos_i0.7_r3,greypos,0.7,3,5,10.385075733116926,10.210594518295814,17441,0.8702225326813692,0.2888368462138954,0.0117752719289492,11.811534808178171,7.132167703445788,79.12000000000008,5.752320864107004,2.49300904880782,0.0570252222782444,greypos,attack,10.7568,3.04125,51.6129,370.0
greypos_i0.7_r4,greypos,0.7,4,6,13.149068953291094,12.96453380994581,29921,0.905270482875469,0.2776488785769528,0.1697325426600508,42.17477064329862,13.9545347950315,14.279999999999848,19.30121124805799,6.1602094001352405,0.04189795966267,greypos,attack,40.5421,8.61603,178.724,359.0
